alpha,scenario,area_type,parameter,change_direction,length_change_%,risk_change_%,energy_change_%,turns_change_%,height_changes_change_%
0.0,"Rivers, canals and streams - Interference +1","Rivers, canals and streams",Interference,1,0.0,0.09822806038513135,0.0,0.0,0.0
0.0,"Rivers, canals and streams - Navigational -1","Rivers, canals and streams",Navigational,-1,0.0,0.0,0.0,0.0,0.0
0.0,"Rivers, canals and streams - Navigational +1","Rivers, canals and streams",Navigational,1,0.0,0.09822806038513135,0.0,0.0,0.0
0.0,"Rivers, canals and streams - Obstacles -1","Rivers, canals and streams",Obstacles,-1,0.0,-0.09822806038513135,0.0,0.0,0.0
0.0,"Rivers, canals and streams - Obstacles +1","Rivers, canals and streams",Obstacles,1,0.0,0.09822806038513135,0.0,0.0,0.0
0.0,Tracks and rural access roads - Communication -1,Tracks and rural access roads,Communication,-1,0.0,-1.2895248372892516,0.0,0.0,0.0
0.0,Tracks and rural access roads - Communication +1,Tracks and rural access roads,Communication,1,0.0,1.289524837289202,0.0,0.0,0.0
0.0,Tracks and rural access roads - Electrical -1,Tracks and rural access roads,Electrical,-1,0.0,-1.2895248372892516,0.0,0.0,0.0
0.0,Tracks and rural access roads - Electrical +1,Tracks and rural access roads,Electrical,1,0.0,1.289524837289202,0.0,0.0,0.0
0.0,Tracks and rural access roads - Interference -1,Tracks and rural access roads,Interference,-1,0.0,0.0,0.0,0.0,0.0
0.0,Tracks and rural access roads - Interference +1,Tracks and rural access roads,Interference,1,0.0,1.289524837289202,0.0,0.0,0.0
0.0,Tracks and rural access roads - Navigational -1,Tracks and rural access roads,Navigational,-1,0.0,-1.2895248372892516,0.0,0.0,0.0
0.0,Tracks and rural access roads - Navigational +1,Tracks and rural access roads,Navigational,1,0.0,1.289524837289202,0.0,0.0,0.0
0.0,Tracks and rural access roads - Obstacles -1,Tracks and rural access roads,Obstacles,-1,0.0,-1.2895248372892516,0.0,0.0,0.0
0.0,Tracks and rural access roads - Obstacles +1,Tracks and rural access roads,Obstacles,1,0.0,1.289524837289202,0.0,0.0,0.0
