alpha,scenario,area_type,parameter,change_direction,length_change_%,risk_change_%,energy_change_%,turns_change_%,height_changes_change_%
0.5,"Rivers, canals and streams - Navigational -1","Rivers, canals and streams",Navigational,-1,0.0,0.0,0.0,0.0,0.0
0.5,"Rivers, canals and streams - Navigational +1","Rivers, canals and streams",Navigational,1,-0.09120941058394269,6.9687448451353164,-0.06368965081199264,5.619082749293003,0.5115089514066478
0.5,"Rivers, canals and streams - Obstacles -1","Rivers, canals and streams",Obstacles,-1,3.0029368912621672,-11.484842323225788,2.913554135259799,2.5451862781261463,1.5345268542199433
0.5,"Rivers, canals and streams - Obstacles +1","Rivers, canals and streams",Obstacles,1,-0.09120941058394269,6.9687448451353164,-0.06368965081199264,5.619082749293003,0.5115089514066478
0.5,Tracks and rural access roads - Communication -1,Tracks and rural access roads,Communication,-1,0.4943618263771691,-3.3001517504346705,0.39731781532302546,0.6762572236567076,-0.5115089514066478
0.5,Tracks and rural access roads - Communication +1,Tracks and rural access roads,Communication,1,0.1272208053975384,2.9549478732797474,0.183476019940223,-0.12295585884669011,1.0230179028132955
0.5,Tracks and rural access roads - Electrical -1,Tracks and rural access roads,Electrical,-1,0.4943618263771691,-3.3001517504346705,0.39731781532302546,0.6762572236567076,-0.5115089514066478
0.5,Tracks and rural access roads - Electrical +1,Tracks and rural access roads,Electrical,1,0.1272208053975384,2.9549478732797474,0.183476019940223,-0.12295585884669011,1.0230179028132955
0.5,Tracks and rural access roads - Interference -1,Tracks and rural access roads,Interference,-1,0.0,0.0,0.0,0.0,0.0
0.5,Tracks and rural access roads - Interference +1,Tracks and rural access roads,Interference,1,0.1272208053975384,2.9549478732797474,0.183476019940223,-0.12295585884669011,1.0230179028132955
0.5,Tracks and rural access roads - Navigational -1,Tracks and rural access roads,Navigational,-1,0.4943618263771691,-3.3001517504346705,0.39731781532302546,0.6762572236567076,-0.5115089514066478
0.5,Tracks and rural access roads - Navigational +1,Tracks and rural access roads,Navigational,1,0.1272208053975384,2.9549478732797474,0.183476019940223,-0.12295585884669011,1.0230179028132955
0.5,Tracks and rural access roads - Obstacles -1,Tracks and rural access roads,Obstacles,-1,0.4943618263771691,-3.3001517504346705,0.39731781532302546,0.6762572236567076,-0.5115089514066478
0.5,Tracks and rural access roads - Obstacles +1,Tracks and rural access roads,Obstacles,1,0.1272208053975384,2.9549478732797474,0.183476019940223,-0.12295585884669011,1.0230179028132955
