depotAbbreviation,depotCity,depotCountry,depotGpsLatitude,depotGpsLongitude,depotId,depotLive,depotOperator,lastLiveUpdate,Aangepast,Type,,,,
OG-EM,Oud-Gastel,NL,,,399654,TRUE,TGN,,,,,,,
RT-GS,Rotterdam Gouderakstraat,NL,,,398491,FALSE,TGN,,X,,,,,
RT-TBW,Rotterdam - Terbregseweg,NL,51.9474461,4.5229369,218832,TRUE,TGN,,,,,,,
STD-DN,Sittard - Dr. Nolenslaan,NL,,,218858,FALSE,TGN,,X,,,,,
TB-HS,Tilburg - Heraclesstraat,NL,51.5962322,5.0250154,218665,TRUE,TGN,,,,,,,
TNZ-HS,Terneuzen - Hughersluys,NL,51.3133404,3.8451738,218846,TRUE,TGN,,,,,,,
VL-PO,Venlo - Popeweg,NL,51.4083108,6.0983445,218856,TRUE,TGN,,,,,,,
WVN-C,Waddinxveen - Coenecoop,NL,51.4083108,6.0983445,218827,TRUE,TGN,,,,,,,
ZL-AF,Zwolle - Anthony Fokkerstraat,NL,52.4970582,6.1210512,218881,TRUE,TGN,,,,,,,
ZW-OV,Zwaag - De Oude Veiling,NL,52.6629624,5.0621699,218815,TRUE,TGN,,,,,,,
